City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,serdar,38.9764,56.2757,3.59,69,17,2.06,TM,1706555696
326,aykhal,66.0,111.5,-20.4,99,100,1.2,RU,1706555665
327,fort st. john,56.2499,-120.8529,9.94,53,75,5.14,CA,1706555610
328,minas de marcona,-15.2119,-75.1103,24.9,56,36,7.32,PE,1706555697
329,ceeldheer,3.8488,47.1806,26.18,85,31,7.88,SO,1706555697
330,ryotsu-minato,38.0833,138.4333,4.65,67,89,1.65,JP,1706555697
331,rikaze,29.25,88.8833,-4.09,33,34,1.46,CN,1706555697
332,bengkulu,-3.8004,102.2655,24.95,88,100,1.78,ID,1706555595
333,tezu,27.9167,96.1667,13.37,53,38,1.87,IN,1706555697
334,kuantan,3.8077,103.326,24.06,94,20,2.57,MY,1706555697
335,al kharijah,25.4514,30.5464,14.05,42,0,3.76,EG,1706555697
336,kamloops,50.6665,-120.3192,7.55,81,75,6.17,CA,1706555698
337,hasparren,43.3838,-1.305,16.45,55,0,3.09,FR,1706555698
338,saldanha,-33.0117,17.9442,18.82,87,95,6.52,ZA,1706555664
339,bulungu,-4.55,18.6,23.81,87,78,1.69,CD,1706555698
340,nieuw nickerie,5.95,-56.9833,27.58,74,33,5.01,SR,1706555698
341,yazd,31.8972,54.3675,7.06,53,0,2.06,IR,1706555698
342,ishige,36.1167,139.9667,6.58,53,99,2.01,JP,1706555698
343,castillos,-34.1667,-53.8333,25.37,51,57,4.75,UY,1706555699
344,saint-joseph,-21.3667,55.6167,24.21,88,35,4.5,RE,1706555699
345,pervomayskoye,43.919,46.7102,-2.36,83,100,3.86,RU,1706555699
346,iqaluit,63.7506,-68.5145,-30.73,67,100,0.0,CA,1706555699
347,hobyo,5.3505,48.5268,26.22,83,9,7.29,SO,1706555699
348,island harbour,50.724,-1.2758,12.24,86,56,4.02,GB,1706555676
349,iranshahr,27.2025,60.6848,17.19,45,0,0.0,IR,1706555699
350,dhuusamarreeb,5.535,46.3861,26.7,63,70,7.64,SO,1706555700
351,uturoa,-16.7333,-151.4333,28.34,78,100,2.78,PF,1706555700
352,aqadyr,48.2553,72.8483,-19.08,91,80,2.46,KZ,1706555700
353,skagen,57.7209,10.5839,5.09,85,100,3.06,DK,1706555700
354,andergrove,-21.0833,149.1833,28.69,89,100,2.66,AU,1706555700
355,sosnytsya,51.5239,32.4999,-5.08,95,100,2.43,UA,1706555700
356,isna,25.2934,32.554,14.63,40,0,3.83,EG,1706555700
357,portland,45.5234,-122.6762,16.17,76,75,3.58,US,1706555415
358,kourou,5.1552,-52.6478,25.03,87,33,4.36,GF,1706555701
359,cole harbour,44.6724,-63.4751,-1.13,88,100,7.15,CA,1706555701
360,sitka,57.0531,-135.33,9.94,71,100,18.52,US,1706555678
361,bayanhongor,46.7167,100.1167,-25.58,71,8,1.82,MN,1706555701
